"NAME","STREET","POST_CODE","CITY","LONGITUDE","LATITUDE","HUMIDITY_AVG","PRESSURE_AVG","TEMPERATURE_AVG","PM10_AVG","PM25_AVG","TIMESTAMP"
"SZKO?A PODSTAWOWA NR 6 IM. DRA W?ADYS?AWA G?BIKA Z ODDZIA?AMI INTEGRACYJNYMI W KWIDZYNIE","UL. GRUNWALDZKA","82-500","KWIDZYN","18.932667","53.723949","65.65833333333333","1016.5083333333333","0.525","27.925","21.2","2023-04-05 00:00:00.0"
"IX LICEUM OG?LNOKSZTA?C?CE W ZABRZU W CENTRUM EDUKACJI W ZABRZU","UL. 1 MAJA","41-800","ZABRZE","18.777957","50.302103","66.14999999999999","993.9","-1.0833333333333333","105.09166666666665","85.96666666666665","2023-04-05 00:00:00.0"
"SZKO?A PODSTAWOWA W BRZE?CIU","","28-400","BRZE?CIE","20.54586641","50.5470206","77.17","998.9200000000001","-0.7","20.919999999999998","18.28","2023-04-05 00:00:00.0"
"PUBLICZNA SZKO?A PODSTAWOWA IM. ?WI?TEGO JANA PAW?A II W MIROWIE","","26-503","MIR?W STARY","21.02802648","51.1924719","97.66666666666667","999.775","-2.35","50.800000000000004","41.53333333333333","2023-04-05 00:00:00.0"
"SZKO?A PODSTAWOWA NR 3 IM. OR?A BIA?EGO W CIECHANOWIE","UL. POWSTA?C?W WIELKOPOLSKICH","06-400","CIECHAN?W","20.631842155818422","52.882394549980845","80.45","1007.7166666666667","0.24166666666666667","56.958333333333336","55.49166666666667","2023-04-05 00:00:00.0"
"SZKO?A PODSTAWOWA NR 4 W SKAR?YSKU-KAMIENNEJ","UL. KSI???CA","26-110","SKAR?YSKO-KAMIENNA","20.875901311108976","51.1416602921439 ","73.625","995.6750000000001","-2.5166666666666666","18.908333333333335","16.841666666666665","2023-04-05 00:00:00.0"
"TECHNIKUM W ?ELECHOWIE","UL. MARSZA?KA J?ZEFA PI?SUDSKIEGO","08-430","?ELECH?W","21.898786","51.812356","85.96666666666665","1003.0166666666668","-1.2166666666666666","46.6","37.824999999999996","2023-04-05 00:00:00.0"
"SZKO?A PODSTAWOWA W ZAWIDZU KO?CIELNYM","UL. MAZOWIECKA","09-226","ZAWIDZ KO?CIELNY","19.870229928959297","52.82718910632357","72.91","1009.8","-1.78","46.11","37.38","2023-04-05 00:00:00.0"
"SZKO?A PODSTAWOWA W WARCINIE IM. KS. PRA?ATA ALFREDA OSIPOWICZA W WARCINIE","","77-230","WARCINO","16.85729458","54.22542881","83.10000000000001","1016.8499999999999","-2.2666666666666666","8.1","6.566666666666666","2023-04-05 00:00:00.0"
"SZKO?A PODSTAWOWA IM. JANA KOCHANOWSKIEGO W B?CZARCE","","32-444","B?CZARKA","19.8615647","49.8750803","55.13333333333333","984.025","0.3333333333333333","24.075","22.508333333333336","2023-04-05 00:00:00.0"
"SZKO?A PODSTAWOWA IM. JANUSZA KORCZAKA W BIERTOWICACH","","32-440","BIERTOWICE","19.7923669","49.8728563","58.82727272727273","993.2727272727273","0.1272727272727273","36.699999999999996","31.50909090909091","2023-04-05 00:00:00.0"
"SZKO?A PODSTAWOWA W JELENIOWIE","","26-006","JELENI?W","21.116233057672765","50.844493249563236","86.8153846153846","989.4615384615385","-2.1","86.07692307692308","65.33076923076922","2023-04-05 00:00:00.0"
"PUBLICZNA SZKO?A PODSTAWOWA NR 30 IM. KR?LOWEJ JADWIGI W RADOMIU","UL. PIASTOWSKA","26-600","RADOM","21.15801836","51.43197508","66.33333333333333","1006.3499999999999","-0.6666666666666666","66.44166666666666","54.35","2023-04-05 00:00:00.0"
